fips,year,county,,money_bond_freq,pr_bond_freq,total_bond_freq,off_type,money_posted,money_bond_new_no,money_new_yes,pr_posted,pr_new_no,pr_new_yes,total_new,jud_district,medianHI,medianHI_MOE,povertyR
8063,2015,"Kit Carson",287,54,14,68,"Felony",33,23,10,13,13,NA,46,13,44090,3951,12.2
8063,2016,"Kit Carson",96,196,73,269,"Misdemeanor",108,88,20,70,61,9,178,13,48272,3698,14.3
8063,2016,"Kit Carson",288,61,27,88,"Felony",35,23,12,26,15,11,61,13,48272,3698,14.3
8067,2014,"La Plata",97,753,463,1216,"Misdemeanor",450,389,61,380,303,77,830,6,60658,3970,10.7
8067,2014,"La Plata",289,249,224,473,"Felony",141,89,52,184,135,49,325,6,60658,3970,10.7
8067,2015,"La Plata",98,906,541,1447,"Misdemeanor",547,476,71,507,408,99,1054,6,60732,3185,9.4
8067,2015,"La Plata",290,281,210,491,"Felony",174,139,35,199,150,49,373,6,60732,3185,9.4
8067,2016,"La Plata",99,1000,463,1463,"Misdemeanor",617,549,68,430,366,64,1047,6,58499,4570,10.9
8067,2016,"La Plata",291,324,178,502,"Felony",216,183,33,163,139,24,379,6,58499,4570,10.9
8065,2014,"Lake",100,152,63,215,"Misdemeanor",107,91,16,64,51,13,171,5,46765,4834,16.0
8065,2014,"Lake",292,77,8,85,"Felony",59,47,12,8,7,1,67,5,46765,4834,16.0
8065,2015,"Lake",101,242,68,310,"Misdemeanor",182,148,34,67,56,11,249,5,45913,4822,15.7
8065,2015,"Lake",293,40,6,46,"Felony",31,27,4,6,6,NA,37,5,45913,4822,15.7
8065,2016,"Lake",102,212,50,262,"Misdemeanor",150,122,28,47,43,4,197,5,49064,5108,14.6
8065,2016,"Lake",294,68,14,82,"Felony",56,47,9,13,11,2,69,5,49064,5108,14.6
8069,2014,"Larimer",103,2059,3712,5771,"Misdemeanor",1350,1091,259,2986,2705,281,4336,8,57659,2943,12.8
8069,2014,"Larimer",295,1309,472,1781,"Felony",765,609,156,439,388,51,1204,8,57659,2943,12.8
8069,2015,"Larimer",104,2278,3780,6058,"Misdemeanor",1459,1181,278,2908,2581,327,4367,8,64935,2643,12.2
8069,2015,"Larimer",296,1647,508,2155,"Felony",941,735,206,465,410,55,1406,8,64935,2643,12.2
8069,2016,"Larimer",105,2306,3737,6043,"Misdemeanor",1395,1133,262,2827,2542,285,4222,8,66561,2623,11.2
8069,2016,"Larimer",297,2130,645,2775,"Felony",1161,905,256,586,522,64,1747,8,66561,2623,11.2
8071,2014,"Las Animas",106,706,123,829,"Misdemeanor",465,385,80,132,86,46,597,3,39625,3652,17.4
8071,2014,"Las Animas",298,105,62,167,"Felony",72,55,17,62,48,14,134,3,39625,3652,17.4
8071,2015,"Las Animas",107,698,86,784,"Misdemeanor",399,337,62,94,70,24,493,3,38858,2839,19.3
8071,2015,"Las Animas",299,137,62,199,"Felony",77,60,17,65,46,19,142,3,38858,2839,19.3
8071,2016,"Las Animas",108,781,65,846,"Misdemeanor",400,335,65,65,47,18,465,3,38224,3638,21.6
8071,2016,"Las Animas",300,112,43,155,"Felony",70,52,18,44,30,14,114,3,38224,3638,21.6
8073,2014,"Lincoln",109,238,8,246,"Misdemeanor",100,89,11,6,6,NA,106,18,41248,4324,18.3
8073,2014,"Lincoln",301,63,3,66,"Felony",22,19,3,4,4,NA,26,18,41248,4324,18.3
8073,2015,"Lincoln",110,354,5,359,"Misdemeanor",99,86,13,8,6,2,107,18,43188,4272,19.4
8073,2015,"Lincoln",302,80,NA,80,"Felony",25,24,1,NA,NA,NA,25,18,43188,4272,19.4
8073,2016,"Lincoln",111,389,8,397,"Misdemeanor",106,97,9,11,10,1,117,18,42969,4271,18.1
8073,2016,"Lincoln",303,84,3,87,"Felony",44,34,10,2,1,1,46,18,42969,4271,18.1
8075,2014,"Logan",112,326,160,486,"Misdemeanor",204,169,35,155,124,31,359,13,45439,4632,17.7
8075,2014,"Logan",304,153,73,226,"Felony",85,64,21,68,54,14,153,13,45439,4632,17.7
8075,2015,"Logan",113,243,211,454,"Misdemeanor",168,134,34,203,163,40,371,13,46306,4123,15.5
8075,2015,"Logan",305,169,65,234,"Felony",104,79,25,67,54,13,171,13,46306,4123,15.5
8075,2016,"Logan",114,249,186,435,"Misdemeanor",166,135,31,172,141,31,338,13,49407,5217,16.4
8075,2016,"Logan",306,194,82,276,"Felony",95,77,18,72,64,8,167,13,49407,5217,16.4
8077,2014,"Mesa",115,1508,1312,2820,"Misdemeanor",604,466,138,1309,1088,221,1913,21,50106,3385,15.4
8077,2014,"Mesa",307,785,721,1506,"Felony",363,277,86,721,585,136,1084,21,50106,3385,15.4
8077,2015,"Mesa",116,1686,1317,3003,"Misdemeanor",591,483,108,1314,1053,261,1905,21,51449,2441,14.1
8077,2015,"Mesa",308,755,817,1572,"Felony",288,230,58,824,671,153,1112,21,51449,2441,14.1
8077,2016,"Mesa",117,1589,1402,2991,"Misdemeanor",451,376,75,1399,1119,280,1850,21,49825,3592,15.0
8077,2016,"Mesa",309,957,1034,1991,"Felony",314,252,62,1043,849,194,1357,21,49825,3592,15.0
8079,2014,"Mineral",118,40,NA,40,"Misdemeanor",14,13,1,NA,NA,NA,14,12,51257,4841,8.9
8079,2014,"Mineral",310,2,NA,2,"Felony",2,2,NA,NA,NA,NA,2,12,51257,4841,8.9
8079,2015,"Mineral",119,43,2,45,"Misdemeanor",14,14,NA,1,1,NA,15,12,50481,5035,9.4
8079,2015,"Mineral",311,1,3,4,"Felony",NA,NA,NA,2,1,1,2,12,50481,5035,9.4
8079,2016,"Mineral",120,36,2,38,"Misdemeanor",7,7,NA,2,2,NA,9,12,52641,5636,9.3
8079,2016,"Mineral",312,1,NA,1,"Felony",1,1,NA,NA,NA,NA,1,12,52641,5636,9.3
8081,2014,"Moffat",121,246,95,341,"Misdemeanor",177,137,40,92,69,23,269,14,56193,5788,11.2
8081,2014,"Moffat",313,134,27,161,"Felony",92,62,30,28,23,5,120,14,56193,5788,11.2
8081,2015,"Moffat",122,257,115,372,"Misdemeanor",176,142,34,116,89,27,292,14,59173,5431,11.7
8081,2015,"Moffat",314,164,67,231,"Felony",121,82,39,65,53,12,186,14,59173,5431,11.7
8081,2016,"Moffat",123,246,157,403,"Misdemeanor",150,123,27,147,121,26,297,14,54151,5263,12.9
8081,2016,"Moffat",315,160,93,253,"Felony",97,68,29,89,75,14,186,14,54151,5263,12.9
8083,2014,"Montezuma",124,402,466,868,"Misdemeanor",276,250,26,368,308,60,644,22,44163,3535,16.3
8083,2014,"Montezuma",316,136,67,203,"Felony",86,73,13,67,54,13,153,22,44163,3535,16.3
8083,2015,"Montezuma",125,413,403,816,"Misdemeanor",269,226,43,298,255,43,567,22,42975,4052,19.3
8083,2015,"Montezuma",317,184,60,244,"Felony",140,121,19,57,49,8,197,22,42975,4052,19.3
8083,2016,"Montezuma",126,421,434,855,"Misdemeanor",252,229,23,275,250,25,527,22,40679,3157,15.1
8083,2016,"Montezuma",318,217,61,278,"Felony",154,137,17,61,55,6,215,22,40679,3157,15.1
8085,2014,"Montrose",127,700,155,855,"Misdemeanor",522,393,129,180,153,27,702,7,46336,2249,15.5
8085,2014,"Montrose",319,282,21,303,"Felony",166,110,56,45,35,10,211,7,46336,2249,15.5
8085,2015,"Montrose",128,648,130,778,"Misdemeanor",421,328,93,173,137,36,594,7,46860,4190,17.7
8085,2015,"Montrose",320,276,21,297,"Felony",174,113,61,49,37,12,223,7,46860,4190,17.7
8085,2016,"Montrose",129,607,181,788,"Misdemeanor",393,309,84,238,189,49,631,7,43285,2893,16.4
8085,2016,"Montrose",321,267,34,301,"Felony",191,112,79,71,59,12,262,7,43285,2893,16.4
8087,2014,"Morgan",130,755,201,956,"Misdemeanor",336,288,48,176,151,25,512,13,47631,3610,13.4
8087,2014,"Morgan",322,182,53,235,"Felony",113,74,39,52,44,8,165,13,47631,3610,13.4
8087,2015,"Morgan",131,775,238,1013,"Misdemeanor",352,303,49,230,187,43,582,13,49087,3968,12.1
8087,2015,"Morgan",323,169,81,250,"Felony",98,77,21,78,59,19,176,13,49087,3968,12.1
8087,2016,"Morgan",132,693,247,940,"Misdemeanor",319,279,40,231,194,37,550,13,49129,4418,11.7
8087,2016,"Morgan",324,207,90,297,"Felony",108,81,27,89,64,25,197,13,49129,4418,11.7
8089,2014,"Otero",133,479,157,636,"Misdemeanor",369,290,79,161,132,29,530,16,33043,3235,26.0
8089,2014,"Otero",325,139,65,204,"Felony",99,76,23,64,45,19,163,16,33043,3235,26.0
8089,2015,"Otero",134,376,228,604,"Misdemeanor",312,253,59,191,159,32,503,16,34970,2891,20.6
8089,2015,"Otero",326,171,53,224,"Felony",136,88,48,51,35,16,187,16,34970,2891,20.6
8089,2016,"Otero",135,210,305,515,"Misdemeanor",180,135,45,241,208,33,421,16,36773,3474,23.6
8089,2016,"Otero",327,153,65,218,"Felony",109,79,30,64,48,16,173,16,36773,3474,23.6
8091,2014,"Ouray",136,88,19,107,"Misdemeanor",68,60,8,13,10,3,81,7,57242,5900,9.6
8091,2014,"Ouray",328,14,2,16,"Felony",8,6,2,2,2,NA,10,7,57242,5900,9.6
8091,2015,"Ouray",137,79,14,93,"Misdemeanor",46,41,5,13,12,1,59,7,60402,5881,9.4
8091,2015,"Ouray",329,15,2,17,"Felony",12,9,3,3,2,1,15,7,60402,5881,9.4
8091,2016,"Ouray",138,99,13,112,"Misdemeanor",60,51,9,13,11,2,73,7,66813,5137,8.8
8091,2016,"Ouray",330,22,2,24,"Felony",19,15,4,3,2,1,22,7,66813,5137,8.8
8093,2014,"Park",139,313,66,379,"Misdemeanor",232,211,21,73,67,6,305,11,58487,5095,9.4
8093,2014,"Park",331,53,13,66,"Felony",38,31,7,17,15,2,55,11,58487,5095,9.4
8093,2015,"Park",140,292,84,376,"Misdemeanor",172,158,14,96,88,8,268,11,63319,5072,9.2
8093,2015,"Park",332,61,17,78,"Felony",52,42,10,19,14,5,71,11,63319,5072,9.2
8093,2016,"Park",141,251,105,356,"Misdemeanor",154,139,15,103,92,11,257,11,68535,6749,9.2
8093,2016,"Park",333,56,11,67,"Felony",43,40,3,11,9,2,54,11,68535,6749,9.2
8095,2014,"Phillips",142,39,5,44,"Misdemeanor",27,21,6,5,4,1,32,13,47006,4708,11.5
8095,2014,"Phillips",334,12,NA,12,"Felony",9,7,2,NA,NA,NA,9,13,47006,4708,11.5
8095,2015,"Phillips",143,41,22,63,"Misdemeanor",27,19,8,21,14,7,48,13,48562,4650,11.1
8095,2015,"Phillips",335,18,2,20,"Felony",15,11,4,2,2,NA,17,13,48562,4650,11.1
8095,2016,"Phillips",144,54,21,75,"Misdemeanor",36,30,6,16,15,1,52,13,49046,5149,11.5
8095,2016,"Phillips",336,15,7,22,"Felony",12,11,1,7,7,NA,19,13,49046,5149,11.5
8097,2014,"Pitkin",145,164,61,225,"Misdemeanor",117,97,20,62,50,12,179,9,73274,7823,7.0
8097,2014,"Pitkin",337,38,4,42,"Felony",30,25,5,4,3,1,34,9,73274,7823,7.0
8097,2015,"Pitkin",146,121,53,174,"Misdemeanor",74,65,9,53,43,10,127,9,76663,7200,7.0
8097,2015,"Pitkin",338,62,13,75,"Felony",51,44,7,13,9,4,64,9,76663,7200,7.0
8097,2016,"Pitkin",147,169,41,210,"Misdemeanor",94,80,14,39,32,7,133,9,74576,6536,6.9
8097,2016,"Pitkin",339,53,22,75,"Felony",42,32,10,23,20,3,65,9,74576,6536,6.9
8099,2014,"Prowers",148,629,68,697,"Misdemeanor",334,270,64,73,47,26,407,15,39184,4040,20.9
8099,2014,"Prowers",340,108,47,155,"Felony",76,63,13,47,36,11,123,15,39184,4040,20.9
8099,2015,"Prowers",149,662,59,721,"Misdemeanor",325,264,61,62,50,12,387,15,41348,2612,19.6
8099,2015,"Prowers",341,157,48,205,"Felony",113,81,32,48,39,9,161,15,41348,2612,19.6
8099,2016,"Prowers",150,625,34,659,"Misdemeanor",273,223,50,34,29,5,307,15,40164,4076,20.9
8099,2016,"Prowers",342,179,52,231,"Felony",100,86,14,53,47,6,153,15,40164,4076,20.9
8101,2014,"Pueblo",151,2513,835,3348,"Misdemeanor",1496,1340,156,826,729,97,2322,10,41382,2334,19.0
8101,2014,"Pueblo",343,1364,481,1845,"Felony",588,453,135,481,420,61,1069,10,41382,2334,19.0
8101,2015,"Pueblo",152,2077,1332,3409,"Misdemeanor",1183,1021,162,1307,1145,162,2490,10,40540,1754,19.8
8101,2015,"Pueblo",344,1388,787,2175,"Felony",637,502,135,790,688,102,1427,10,40540,1754,19.8
8101,2016,"Pueblo",153,1906,1576,3482,"Misdemeanor",827,719,108,1506,1319,187,2333,10,44644,2886,19.9
8101,2016,"Pueblo",345,1607,657,2264,"Felony",644,541,103,651,586,65,1295,10,44644,2886,19.9
8103,2014,"Rio Blanco",154,193,12,205,"Misdemeanor",150,140,10,10,10,NA,160,9,63184,5772,10.9
8103,2014,"Rio Blanco",346,47,5,52,"Felony",35,26,9,9,6,3,44,9,63184,5772,10.9
8103,2015,"Rio Blanco",155,194,14,208,"Misdemeanor",138,111,27,15,15,NA,153,9,61426,6002,9.7
8103,2015,"Rio Blanco",347,33,10,43,"Felony",26,22,4,9,7,2,35,9,61426,6002,9.7
8103,2016,"Rio Blanco",156,129,24,153,"Misdemeanor",84,71,13,20,17,3,104,9,58980,6448,9.5
8103,2016,"Rio Blanco",348,55,13,68,"Felony",44,34,10,11,10,1,55,9,58980,6448,9.5
8105,2014,"Rio Grande",157,231,97,328,"Misdemeanor",97,67,30,104,79,25,201,12,40593,4059,18.3
8105,2014,"Rio Grande",349,100,61,161,"Felony",62,43,19,67,50,17,129,12,40593,4059,18.3
8105,2015,"Rio Grande",158,229,94,323,"Misdemeanor",104,82,22,87,70,17,191,12,40259,4032,17.2
8105,2015,"Rio Grande",350,73,63,136,"Felony",52,33,19,60,49,11,112,12,40259,4032,17.2
8105,2016,"Rio Grande",159,202,87,289,"Misdemeanor",103,77,26,84,69,15,187,12,41128,4350,17.5
8105,2016,"Rio Grande",351,115,50,165,"Felony",76,45,31,53,38,15,129,12,41128,4350,17.5
8107,2014,"Routt",160,385,166,551,"Misdemeanor",296,270,26,161,143,18,457,14,66846,5246,8.4
8107,2014,"Routt",352,72,29,101,"Felony",53,43,10,30,26,4,83,14,66846,5246,8.4
8107,2015,"Routt",161,365,172,537,"Misdemeanor",249,235,14,171,151,20,420,14,70989,5959,8.9
8107,2015,"Routt",353,95,65,160,"Felony",72,59,13,62,53,9,134,14,70989,5959,8.9
8107,2016,"Routt",162,309,176,485,"Misdemeanor",200,183,17,169,146,23,369,14,71322,6841,7.2
8107,2016,"Routt",354,58,42,100,"Felony",39,31,8,40,34,6,79,14,71322,6841,7.2
8109,2014,"Saguache",163,84,38,122,"Misdemeanor",35,25,10,38,34,4,73,12,31227,3304,29.9
8109,2014,"Saguache",355,18,23,41,"Felony",15,13,2,21,17,4,36,12,31227,3304,29.9
8109,2015,"Saguache",164,69,31,100,"Misdemeanor",29,26,3,30,26,4,59,12,34209,3381,29.6
8109,2015,"Saguache",356,19,19,38,"Felony",13,8,5,19,15,4,32,12,34209,3381,29.6
8109,2016,"Saguache",165,88,30,118,"Misdemeanor",35,27,8,26,23,3,61,12,33973,3300,27.6
8109,2016,"Saguache",357,48,14,62,"Felony",31,27,4,14,10,4,45,12,33973,3300,27.6
8111,2014,"San Juan",166,11,2,13,"Misdemeanor",3,2,1,1,1,NA,4,6,40006,4081,15.5
8111,2014,"San Juan",358,3,1,4,"Felony",2,2,NA,1,NA,1,3,6,40006,4081,15.5
8111,2015,"San Juan",167,19,1,20,"Misdemeanor",6,3,3,1,1,NA,7,6,43489,3005,15.6
8111,2015,"San Juan",359,NA,NA,NA,"Felony",NA,NA,NA,NA,NA,NA,NA,6,43489,3005,15.6
8111,2016,"San Juan",168,19,4,23,"Misdemeanor",8,5,3,2,2,NA,10,6,44652,4853,15.5
8111,2016,"San Juan",360,8,5,13,"Felony",7,5,2,3,3,NA,10,6,44652,4853,15.5
8113,2014,"San Miguel",169,134,33,167,"Misdemeanor",110,92,18,29,21,8,139,7,59603,5918,9.9
8113,2014,"San Miguel",361,28,7,35,"Felony",20,14,6,7,5,2,27,7,59603,5918,9.9
8113,2015,"San Miguel",170,143,30,173,"Misdemeanor",114,102,12,31,26,5,145,7,62793,6454,11.0
8113,2015,"San Miguel",362,48,6,54,"Felony",37,31,6,9,6,3,46,7,62793,6454,11.0
8113,2016,"San Miguel",171,209,25,234,"Misdemeanor",179,162,17,22,20,2,201,7,67251,6402,10.1
8113,2016,"San Miguel",363,46,12,58,"Felony",40,32,8,8,7,1,48,7,67251,6402,10.1
8115,2014,"Sedgwick",172,36,7,43,"Misdemeanor",20,19,1,6,6,NA,26,13,44562,3657,13.9
8115,2014,"Sedgwick",364,8,2,10,"Felony",7,4,3,2,1,1,9,13,44562,3657,13.9
8115,2015,"Sedgwick",173,56,15,71,"Misdemeanor",25,24,1,15,12,3,40,13,40325,4162,13.6
8115,2015,"Sedgwick",365,13,7,20,"Felony",10,6,4,7,7,NA,17,13,40325,4162,13.6
8115,2016,"Sedgwick",174,62,7,69,"Misdemeanor",31,29,2,7,7,NA,38,13,42518,3923,14.8
8115,2016,"Sedgwick",366,21,9,30,"Felony",13,12,1,8,8,NA,21,13,42518,3923,14.8
8117,2014,"Summit",175,862,63,925,"Misdemeanor",647,573,74,69,61,8,716,5,68352,6745,9.7
8117,2014,"Summit",367,209,13,222,"Felony",144,126,18,16,12,4,160,5,68352,6745,9.7
8117,2015,"Summit",176,938,110,1048,"Misdemeanor",709,616,93,107,89,18,816,5,69633,5536,8.7
8117,2015,"Summit",368,230,19,249,"Felony",164,128,36,20,14,6,184,5,69633,5536,8.7
8117,2016,"Summit",177,820,112,932,"Misdemeanor",570,511,59,108,84,24,678,5,70265,6668,7.9
8117,2016,"Summit",369,264,19,283,"Felony",189,160,29,20,13,7,209,5,70265,6668,7.9
8119,2014,"Teller",178,529,139,668,"Misdemeanor",406,367,39,127,114,13,533,4,62380,6344,9.5
8119,2014,"Teller",370,169,14,183,"Felony",110,93,17,9,8,1,119,4,62380,6344,9.5
8119,2015,"Teller",179,504,121,625,"Misdemeanor",341,302,39,111,100,11,452,4,66191,5825,8.8
8119,2015,"Teller",371,167,21,188,"Felony",101,96,5,18,16,2,119,4,66191,5825,8.8
8119,2016,"Teller",180,461,119,580,"Misdemeanor",278,244,34,114,110,4,392,4,63966,6286,9.5
8119,2016,"Teller",372,205,27,232,"Felony",134,113,21,27,24,3,161,4,63966,6286,9.5
8121,2014,"Washington",181,67,29,96,"Misdemeanor",43,42,1,31,29,2,74,13,45784,4577,11.4
8121,2014,"Washington",373,11,4,15,"Felony",5,3,2,4,3,1,9,13,45784,4577,11.4
8121,2015,"Washington",182,80,37,117,"Misdemeanor",54,47,7,36,33,3,90,13,47592,4830,11.4
8121,2015,"Washington",374,8,6,14,"Felony",6,5,1,6,6,NA,12,13,47592,4830,11.4
8121,2016,"Washington",183,97,25,122,"Misdemeanor",46,44,2,23,22,1,69,13,46304,4664,14.3
8121,2016,"Washington",375,21,12,33,"Felony",13,12,1,13,12,1,26,13,46304,4664,14.3
8123,2014,"Weld",184,3329,1343,4672,"Misdemeanor",2227,1839,388,1092,967,125,3319,19,61501,2658,10.5
8123,2014,"Weld",376,1648,468,2116,"Felony",824,659,165,483,391,92,1307,19,61501,2658,10.5
8123,2015,"Weld",185,3200,2156,5356,"Misdemeanor",2037,1631,406,1911,1658,253,3948,19,69434,2181,11.3
8123,2015,"Weld",377,1591,596,2187,"Felony",789,601,188,609,536,73,1398,19,69434,2181,11.3
8123,2016,"Weld",186,2677,2747,5424,"Misdemeanor",1627,1301,326,2256,1972,284,3883,19,63609,2759,11.5
8123,2016,"Weld",378,1887,647,2534,"Felony",877,679,198,655,533,122,1532,19,63609,2759,11.5
8125,2014,"Yuma",187,90,22,112,"Misdemeanor",65,60,5,21,20,1,86,13,46838,4701,14.0
8125,2014,"Yuma",379,32,3,35,"Felony",22,19,3,3,3,NA,25,13,46838,4701,14.0
8125,2015,"Yuma",188,121,30,151,"Misdemeanor",85,73,12,31,25,6,116,13,48934,4861,14.1
8125,2015,"Yuma",380,43,10,53,"Felony",34,19,15,9,6,3,43,13,48934,4861,14.1
8125,2016,"Yuma",189,107,39,146,"Misdemeanor",74,62,12,33,27,6,107,13,48963,4978,12.3
8125,2016,"Yuma",381,47,14,61,"Felony",32,26,6,14,12,2,46,13,48963,4978,12.3
8031,2014,"Denver",238,3817,1271,5088,"Felony",1936,1632,304,1313,1186,127,3249,2,54872,1823,15.9
8031,2015,"Denver",239,4036,1319,5355,"Felony",2069,1751,318,1446,1291,155,3515,2,57886,2435,15.7
8031,2016,"Denver",240,4037,2572,6609,"Felony",1902,1621,281,2619,2286,333,4521,2,61038,1375,14.0
