district,bond_type,year,amount
1,Total,2014,3150
1,Cash/Surety/Property,2014,2697
1,Personal Recognizance,2014,453
2,Total,2014,5088
2,Cash/Surety/Property,2014,3817
2,Personal Recognizance,2014,1271
3,Total,2014,281
3,Cash/Surety/Property,2014,183
3,Personal Recognizance,2014,98
4,Total,2014,5542
4,Cash/Surety/Property,2014,5210
4,Personal Recognizance,2014,332
5,Total,2014,649
5,Cash/Surety/Property,2014,590
5,Personal Recognizance,2014,59
6,Total,2014,564
6,Cash/Surety/Property,2014,298
6,Personal Recognizance,2014,266
7,Total,2014,577
7,Cash/Surety/Property,2014,528
7,Personal Recognizance,2014,49
8,Total,2014,1787
8,Cash/Surety/Property,2014,1313
8,Personal Recognizance,2014,474
9,Total,2014,465
9,Cash/Surety/Property,2014,368
9,Personal Recognizance,2014,97
10,Total,2014,1845
10,Cash/Surety/Property,2014,1364
10,Personal Recognizance,2014,481
11,Total,2014,536
11,Cash/Surety/Property,2014,432
11,Personal Recognizance,2014,104
12,Total,2014,594
12,Cash/Surety/Property,2014,402
12,Personal Recognizance,2014,192
13,Total,2014,588
13,Cash/Surety/Property,2014,447
13,Personal Recognizance,2014,141
14,Total,2014,332
14,Cash/Surety/Property,2014,269
14,Personal Recognizance,2014,63
15,Total,2014,208
15,Cash/Surety/Property,2014,153
15,Personal Recognizance,2014,55
16,Total,2014,281
16,Cash/Surety/Property,2014,200
16,Personal Recognizance,2014,81
17,Total,2014,3677
17,Cash/Surety/Property,2014,3451
17,Personal Recognizance,2014,226
18,Total,2014,3819
18,Cash/Surety/Property,2014,3329
18,Personal Recognizance,2014,490
19,Total,2014,2116
19,Cash/Surety/Property,2014,1648
19,Personal Recognizance,2014,468
20,Total,2014,1763
20,Cash/Surety/Property,2014,1548
20,Personal Recognizance,2014,215
21,Total,2014,1506
21,Cash/Surety/Property,2014,785
21,Personal Recognizance,2014,721
22,Total,2014,211
22,Cash/Surety/Property,2014,139
22,Personal Recognizance,2014,72
1,Total,2015,3646
1,Cash/Surety/Property,2015,3181
1,Personal Recognizance,2015,465
2,Total,2015,5355
2,Cash/Surety/Property,2015,4036
2,Personal Recognizance,2015,1319
3,Total,2015,288
3,Cash/Surety/Property,2015,206
3,Personal Recognizance,2015,82
4,Total,2015,5810
4,Cash/Surety/Property,2015,5427
4,Personal Recognizance,2015,383
5,Total,2015,718
5,Cash/Surety/Property,2015,665
5,Personal Recognizance,2015,53
6,Total,2015,573
6,Cash/Surety/Property,2015,327
6,Personal Recognizance,2015,246
7,Total,2015,583
7,Cash/Surety/Property,2015,526
7,Personal Recognizance,2015,57
8,Total,2015,2160
8,Cash/Surety/Property,2015,1648
8,Personal Recognizance,2015,512
9,Total,2015,603
9,Cash/Surety/Property,2015,496
9,Personal Recognizance,2015,107
10,Total,2015,2175
10,Cash/Surety/Property,2015,1388
10,Personal Recognizance,2015,787
11,Total,2015,635
11,Cash/Surety/Property,2015,484
11,Personal Recognizance,2015,151
12,Total,2015,638
12,Cash/Surety/Property,2015,445
12,Personal Recognizance,2015,193
13,Total,2015,659
13,Cash/Surety/Property,2015,474
13,Personal Recognizance,2015,185
14,Total,2015,440
14,Cash/Surety/Property,2015,300
14,Personal Recognizance,2015,140
15,Total,2015,252
15,Cash/Surety/Property,2015,191
15,Personal Recognizance,2015,61
16,Total,2015,317
16,Cash/Surety/Property,2015,226
16,Personal Recognizance,2015,91
17,Total,2015,3951
17,Cash/Surety/Property,2015,3580
17,Personal Recognizance,2015,371
18,Total,2015,4082
18,Cash/Surety/Property,2015,3198
18,Personal Recognizance,2015,884
19,Total,2015,2187
19,Cash/Surety/Property,2015,1591
19,Personal Recognizance,2015,596
20,Total,2015,1924
20,Cash/Surety/Property,2015,1630
20,Personal Recognizance,2015,294
21,Total,2015,1572
21,Cash/Surety/Property,2015,755
21,Personal Recognizance,2015,817
22,Total,2015,255
22,Cash/Surety/Property,2015,193
22,Personal Recognizance,2015,62
1,Total,2016,4094
1,Cash/Surety/Property,2016,3528
1,Personal Recognizance,2016,566
2,Total,2016,6609
2,Cash/Surety/Property,2016,4037
2,Personal Recognizance,2016,2572
3,Total,2016,292
3,Cash/Surety/Property,2016,208
3,Personal Recognizance,2016,84
4,Total,2016,6338
4,Cash/Surety/Property,2016,5986
4,Personal Recognizance,2016,352
5,Total,2016,751
5,Cash/Surety/Property,2016,695
5,Personal Recognizance,2016,56
6,Total,2016,610
6,Cash/Surety/Property,2016,381
6,Personal Recognizance,2016,229
7,Total,2016,631
7,Cash/Surety/Property,2016,553
7,Personal Recognizance,2016,78
8,Total,2016,2785
8,Cash/Surety/Property,2016,2138
8,Personal Recognizance,2016,647
9,Total,2016,667
9,Cash/Surety/Property,2016,494
9,Personal Recognizance,2016,173
10,Total,2016,2264
10,Cash/Surety/Property,2016,1607
10,Personal Recognizance,2016,657
11,Total,2016,909
11,Cash/Surety/Property,2016,603
11,Personal Recognizance,2016,306
12,Total,2016,936
12,Cash/Surety/Property,2016,613
12,Personal Recognizance,2016,323
13,Total,2016,807
13,Cash/Surety/Property,2016,566
13,Personal Recognizance,2016,241
14,Total,2016,415
14,Cash/Surety/Property,2016,266
14,Personal Recognizance,2016,149
15,Total,2016,280
15,Cash/Surety/Property,2016,220
15,Personal Recognizance,2016,60
16,Total,2016,348
16,Cash/Surety/Property,2016,261
16,Personal Recognizance,2016,87
17,Total,2016,4353
17,Cash/Surety/Property,2016,3572
17,Personal Recognizance,2016,781
18,Total,2016,4449
18,Cash/Surety/Property,2016,3629
18,Personal Recognizance,2016,820
19,Total,2016,2534
19,Cash/Surety/Property,2016,1887
19,Personal Recognizance,2016,647
20,Total,2016,2198
20,Cash/Surety/Property,2016,1662
20,Personal Recognizance,2016,536
21,Total,2016,1991
21,Cash/Surety/Property,2016,957
21,Personal Recognizance,2016,1034
22,Total,2016,295
22,Cash/Surety/Property,2016,233
22,Personal Recognizance,2016,62
